t,x,y,theta,s0,s1,s2,s3,error,P,I,D,pwm_l,pwm_r,vx,omega,on_line,estado,corr_bloqueada
0.2950000000000002,0.7555421528076205,1.3708281723534457,-0.5096643247557503,794.0,858.0,157.0,169.0,-1302.3255813953488,-52.093023255813954,-0.0,17.076393119569154,0.75,0.0,0.46842383921213643,-4.798846671642356,True,recuperacion,False
0.3000000000000002,0.7575754339216564,1.3696653965137744,-0.5339225375343246,719.0,869.0,171.0,185.0,-1183.1275720164608,-47.325102880658434,-0.0,154.99108643836396,0.0,0.75,0.46849566485122507,-4.5243813012583916,True,recuperacion,False
0.3050000000000002,0.7595833247119248,1.3684585964040679,-0.5499782399312533,558.0,866.0,171.0,185.0,-1019.1011235955057,-40.76404494382023,-0.0,305.32549861200096,0.0,0.75,0.46855985391922195,-2.3989457980298705,True,recuperacion,False
0.3100000000000002,0.761576661283281,1.3672272919168396,-0.5567221748928617,676.0,860.0,175.0,191.0,-1125.1314405888538,-45.00525762355415,-0.0,86.49146863638288,0.0,0.75,0.468617218343717,-0.699299569779499,True,desviado,False
0.3150000000000002,0.7635657445572492,1.365988610595107,-0.5565519473990596,822.0,879.0,150.0,189.0,-1288.235294117647,-51.529411764705884,-0.0,-135.18059618908393,0.75,0.0,0.4686684837273772,0.12768071570461997,True,desviado,False
0.32000000000000023,0.7655545649616665,1.3647490551618864,-0.5597586753479232,880.0,895.0,168.0,203.0,-1285.1817334575956,-51.40726933830382,-0.0,-90.96214454029692,0.75,0.0,0.46871429852609536,-1.116962144427798,True,recuperacion,False
0.32500000000000023,0.7675367324960285,1.3634984977026776,-0.5684183209863523,863.0,865.0,186.0,203.0,-1256.0226735947094,-50.24090694378838,-0.0,-28.68262934274449,0.75,0.0,0.4687552422513097,-2.1122652432654063,True,recuperacion,False
0.33000000000000024,0.7695058368411027,1.3622271335007328,-0.5814384993108832,835.0,852.0,168.0,191.0,-1278.5923753665688,-51.143695014662754,-0.0,-47.16148266615242,0.75,0.0,0.4687918328002442,-2.9081789067643102,True,desviado,False
0.33500000000000024,0.7714564639423062,1.3609273066829057,-0.5979456632070006,838.0,865.0,185.0,172.0,-1300.0,-52.0,-0.0,-58.702187426424096,0.75,0.0,0.4688245330067916,-3.5446468937363904,True,desviado,False
0.34000000000000025,0.7733839346144484,1.359593130755555,-0.617241263574471,837.0,901.0,181.0,172.0,-1298.4218077474893,-51.93687230989957,-0.0,-39.19770049548404,0.75,0.0,0.46885375649589967,-4.053611015120456,True,recuperacion,False
0.34500000000000025,0.7752841297279232,1.3582201677574703,-0.6387666919108689,817.0,890.0,182.0,173.0,-1280.3103782735209,-51.21241513094083,-0.0,-5.704674978076709,0.75,0.0,0.4688798729155135,-4.460614167138559,True,recuperacion,False
0.35000000000000026,0.777156706376858,1.3568025869690379,-0.661646678424763,788.0,885.0,199.0,174.0,-1235.5816226783968,-49.423264907135874,-0.0,49.68123422949521,0.29203067764066337,0.75,0.4731165905483617,-4.35751469277233,True,recuperacion,False
0.35500000000000026,0.7790560926983726,1.3553007556670111,-0.6783341388399681,749.0,880.0,201.0,194.0,-1158.102766798419,-46.32411067193676,-0.0,127.75149101662002,0.0,0.75,0.48862691141826053,-2.6365723075122913,True,recuperacion,False
0.36000000000000026,0.7809476210874541,1.3537644807550984,-0.6861191417565466,728.0,875.0,193.0,183.0,-1170.7933299646286,-46.83173319858514,-0.0,74.19736791218251,0.0,0.75,0.4865507269716577,-0.8893222733433589,True,desviado,False
0.36500000000000027,0.7828245772118351,1.352225692782541,-0.6867814246919387,875.0,877.0,205.0,197.0,-1256.267409470752,-50.25069637883008,-0.0,-50.63073786882037,0.75,0.0,0.4846952844540822,-0.02427466986396687,True,desviado,False
0.3700000000000003,0.7846930765558013,1.35069027888919,-0.6906538859499569,899.0,899.0,207.0,208.0,-1249.4351558969724,-49.9774062358789,-0.0,-27.242812219638797,0.75,0.0,0.48303711437114,-1.238476251796226,True,recuperacion,False
0.3750000000000003,0.7865462187278743,1.349148470067102,-0.6998458982992114,896.0,916.0,197.0,204.0,-1262.991414369634,-50.51965657478536,-0.0,-35.33747872094097,0.75,0.0,0.48155524252767395,-2.209436384875792,True,desviado,False
0.3800000000000003,0.7883770529280243,1.3475909236390857,-0.7132917941158637,890.0,909.0,210.0,207.0,-1240.072202166065,-49.6028880866426,-0.0,2.766819539624166,0.75,0.0,0.4802309247251475,-2.98588371788749,True,recuperacion,False
0.3850000000000003,0.7901798655549783,1.3460104203147238,-0.7301393913625512,886.0,905.0,206.0,210.0,-1235.6139555958314,-49.42455822383326,-0.0,7.286669562017167,0.75,0.0,0.47904740966625653,-3.606785071508337,True,recuperacion,False
0.3900000000000003,0.7919498618462123,1.3444014813090108,-0.7497072259424397,888.0,906.0,218.0,212.0,-1221.2230215827337,-48.84892086330935,-0.0,22.369789509129195,0.75,0.0,0.4779897270677521,-4.103301028917635,True,recuperacion,False
0.3950000000000003,0.793682946156826,1.3427600452546218,-0.7714503517114975,881.0,912.0,214.0,224.0,-1196.3245181532945,-47.85298072613178,-0.0,45.537056771717474,0.75,0.0,0.4770444983013119,-4.5003497622219175,True,recuperacion,False
0.4000000000000003,0.7953755673563249,1.341083200364361,-0.7949329917868713,904.0,932.0,205.0,209.0,-1249.7777777777778,-49.99111111111112,-0.0,-32.267971809177716,0.75,0.0,0.4761997671672557,-4.81785757695783,True,desviado,False
0.4050000000000003,0.7970246076822323,1.3393689649622509,-0.8198066686286992,883.0,925.0,211.0,219.0,-1209.1152815013404,-48.364611260053614,-0.0,26.20741526530052,0.75,0.0,0.4754448486605632,-5.071758934555455,True,recuperacion,False
0.4100000000000003,0.7986273010411131,1.3376161090699121,-0.8452605401410407,805.0,924.0,211.0,226.0,-1131.1172668513389,-45.24469067405356,-0.0,111.94280826571224,0.0,0.75,0.47477019381623387,-4.742620950308637,True,recuperacion,False
0.4150000000000003,0.8001875761956971,1.3358295341821482,-0.8622723745184668,805.0,945.0,218.0,225.0,-1124.9430004559963,-44.99772001823985,-0.0,85.76908546040964,0.0,0.75,0.4741672689244184,-2.573465418032215,True,recuperacion,False
0.4200000000000003,0.8017226082748449,1.334024892124202,-0.8703130743793831,885.0,927.0,226.0,227.0,-1181.0154525386313,-47.24061810154525,-0.0,-7.248582676875239,0.75,0.0,0.4736284475875138,-1.3710327998359646,True,desviado,False
0.4250000000000003,0.803241718552834,1.3322101138729459,-0.8800858315903376,903.0,907.0,220.0,229.0,-1199.203187250996,-47.96812749003984,-0.0,-26.8992895286504,0.75,0.0,0.47314691425385197,-2.3154378309622072,True,desviado,False
0.4300000000000003,0.8047384249882064,1.330379734270679,-0.8939961314372534,888.0,914.0,232.0,228.0,-1176.8346595932803,-47.07338638373121,-0.0,8.012730519203606,0.75,0.0,0.4727165780077791,-3.0706498553478805,True,recuperacion,False
0.43500000000000033,0.806205709998605,1.3285282655585566,-0.9112150984842583,903.0,919.0,229.0,227.0,-1193.15188762072,-47.7260755048288,-0.0,-13.971762269484962,0.75,0.0,0.47233199552565713,-3.674569977518922,True,desviado,False
0.44000000000000034,0.8076377266209588,1.3266516589628858,-0.9310799062159721,915.0,915.0,225.0,233.0,-1195.8041958041958,-47.83216783216783,-0.0,-12.963003408810616,0.75,0.0,0.47198830222325744,-4.1575065598115115,True,desviado,False
0.44500000000000034,0.8090295469511091,1.3247470500529115,-0.9530605123962799,893.0,943.0,218.0,238.0,-1173.6474694589879,-46.94589877835951,-0.0,17.51396922808214,0.75,0.0,0.4716811507236294,-4.543696279203562,True,recuperacion,False
