hora,test,s0,s1,s2,s3,error,corr,left,right,kp,kd,estado
12:00:11,1,402,37,25,74,2.08,0.05,200,-40,0.03,0.02,recuperacion
12:00:11,1,26,25,23,21,0,0,200,-40,0.03,0.02,recuperacion
12:00:11,1,948,43,31,58,2.07,0.07,179,180,0.03,0.02,desviado
12:00:11,1,652,28,26,25,2.93,0.09,179,180,0.03,0.02,vuelta_derecha
12:00:11,1,37,7,7,25,0,0,200,-40,0.03,0.02,recuperacion
12:00:11,1,939,29,31,43,2.07,0.07,179,180,0.03,0.02,desviado
12:00:11,1,155,32,27,29,1.62,0.04,200,-40,0.03,0.02,recuperacion
12:00:11,1,43,30,26,44,0,0,200,-40,0.03,0.02,recuperacion
12:00:11,1,298,435,48,60,1.3,0.03,200,-40,0.03,0.02,recuperacion
12:00:11,1,112,867,883,202,0,-0.01,180,179,0.03,0.02,desviado
12:00:11,1,57,895,818,110,0,0,180,180,0.03,0.02,centrado
12:00:11,1,875,895,893,924,0,-0.01,180,179,0.03,0.02,desviado
12:00:11,1,37,883,79,154,0.91,0.03,179,180,0.03,0.02,desviado
12:00:11,1,37,859,25,18,0.99,0.03,179,180,0.03,0.02,desviado
12:00:11,1,55,799,23,91,1,0.03,179,180,0.03,0.02,desviado
12:00:11,1,38,819,31,174,1,0.03,179,180,0.03,0.02,desviado
12:00:11,1,107,868,56,152,1,0.03,179,180,0.03,0.02,desviado
12:00:11,1,44,892,829,94,0,0,180,179,0.03,0.02,centrado
12:00:11,1,70,872,813,73,0,0,180,180,0.03,0.02,centrado
12:00:11,1,934,155,30,60,1.75,0.06,179,180,0.03,0.02,desviado
12:00:11,1,35,108,31,178,0,0,200,-40,0.03,0.02,recuperacion
12:00:11,1,95,98,28,195,0,0,200,-40,0.03,0.02,recuperacion
12:00:11,1,369,137,28,62,0,0,200,-40,0.03,0.02,recuperacion
12:00:11,1,229,654,31,229,0.97,0.03,179,180,0.03,0.02,desviado
12:00:11,1,97,901,755,182,0,0,180,179,0.03,0.02,centrado
12:00:11,1,77,855,51,175,0.9,0.03,179,180,0.03,0.02,desviado
12:00:11,1,369,424,34,28,0,-0.01,200,-40,0.03,0.02,recuperacion
12:00:11,1,99,396,916,102,0,0,180,179,0.03,0.02,centrado
12:00:11,1,35,49,468,217,0,0.01,-40,200,0.03,0.02,recuperacion
12:00:11,1,47,911,705,283,0,0,179,180,0.03,0.02,centrado
12:00:11,1,868,44,33,191,2.43,0.08,179,180,0.03,0.02,vuelta_derecha
12:00:11,1,103,57,27,208,0,0,200,-40,0.03,0.02,recuperacion
12:00:11,1,408,80,27,149,0,0,200,-40,0.03,0.02,recuperacion
12:00:11,1,957,53,0,110,2.7,0.08,179,180,0.03,0.02,vuelta_derecha
12:00:11,1,44,30,29,94,0,-0.01,200,-40,0.03,0.02,recuperacion
12:00:11,1,919,13,46,103,2.09,0.07,179,180,0.03,0.02,desviado
12:00:11,1,68,868,81,232,0.91,0.03,179,180,0.03,0.02,desviado
12:00:11,1,90,482,887,182,0,0,180,179,0.03,0.02,centrado
12:00:11,1,41,101,859,192,-0.94,-0.03,180,179,0.03,0.02,desviado
12:00:11,1,54,113,803,211,-1,-0.03,180,179,0.03,0.02,desviado
12:00:11,1,44,55,477,323,0,0.01,-40,200,0.03,0.02,recuperacion
12:00:11,1,57,889,552,295,0,0,179,180,0.03,0.02,centrado
12:00:11,1,39,786,30,276,0.93,0.03,179,180,0.03,0.02,desviado
12:00:11,1,42,552,30,314,0.56,0.01,200,-40,0.03,0.02,recuperacion
12:00:11,1,43,894,789,267,0.54,0.01,179,180,0.03,0.02,desviado
12:00:11,1,198,402,903,297,-0.57,-0.02,180,179,0.03,0.02,centrado
12:00:11,1,49,58,754,272,-0.97,-0.03,180,179,0.03,0.02,desviado
12:00:11,1,76,53,743,200,0,0,179,180,0.03,0.02,centrado
12:00:11,1,102,852,38,73,0.68,0.02,179,180,0.03,0.02,desviado
12:00:11,1,165,606,31,205,0.98,0.03,179,180,0.03,0.02,desviado
12:00:11,1,104,890,735,275,0.67,0.02,179,180,0.03,0.02,desviado
